Little Miss Sunshine	2006	2	4	no
An Inconvenient Truth	2006	2	2	no
Babel	2006	1	7	no
The Queen	2006	1	6	no
Letters from Iwo Jima	2006	1	4	no
Pirates of the Caribbean: Dead Man's Chest	2006	1	4	no
The Danish Poet	2006	1	1	no
Happy Feet	2006	1	1	no
The Last King of Scotland	2006	1	1	no
The Lives of Others (Das Leben der Anderen)	2006	1	1	no
Marie Antoinette	2006	1	1	no
West Bank Story	2006	1	1	no
The Blood of Yingzhou District	2006	1	1	no
Crash	2005	3	6	yes
Brokeback Mountain	2005	3	8	no
Memoirs of a Geisha	2005	3	6	no
King Kong	2005	3	4	no
Capote	2005	1	5	no
Walk the Line	2005	1	5	no
The Constant Gardener	2005	1	4	no
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005	1	3	no
Hustle & Flow	2005	1	2	no
Syriana	2005	1	2	no
March of the Penguins (La Marche de l'empereur)	2005	1	1	no
Six Shooter	2005	1	1	no
The Moon and the Son: An Imagined Conversation	2005	1	1	no
A Note of Triumph: The Golden Age of Norman Corwin	2005	1	1	no
Tsotsi	2005	1	1	no
Wallace & Gromit: The Curse of the Were-Rabbit	2005	1	1	no
Million Dollar Baby	2004	4	7	yes
The Aviator	2004	5	11	no
Ray	2004	2	6	no
The Incredibles	2004	2	4	no
Finding Neverland	2004	1	7	no
Sideways	2004	1	5	no
Lemony Snicket's A Series of Unfortunate Events	2004	1	4	no
Spider-Man 2	2004	1	3	no
Eternal Sunshine of the Spotless Mind	2004	1	2	no
The Motorcycle Diaries	2004	1	2	no
The Sea Inside	2004	1	2	no
Born into Brothels	2004	1	1	no
Mighty Times: The Children's March	2004	1	1	no
Wasp	2004	1	1	no
Ryan	2004	1	1	no
The Lord of the Rings: The Return of the King	2003	11	11	yes
Master and Commander: The Far Side of the World	2003	2	10	no
Mystic River	2003	2	6	no
Cold Mountain	2003	1	7	no
Lost in Translation	2003	1	4	no
Finding Nemo	2003	1	4	no
The Barbarian Invasions	2003	1	2	no
Two Soldiers	2003	1	1	no
Monster	2003	1	1	no
Harvie Krumpet	2003	1	1	no
Chernobyl Heart	2003	1	1	no
The Fog of War	2002	1	1	no
Chicago	2002	6	13	yes
The Pianist	2002	3	7	no
The Lord of the Rings: The Two Towers	2002	2	6	no
Frida	2002	2	6	no
The Hours	2002	1	9	no
Road to Perdition	2002	1	6	no
Adaptation	2002	1	4	no
Talk to Her (Hable con ella)	2002	1	2	no
This Charming Man (Der Er En Yndig Mand)	2002	1	1	no
Spirited Away	2002	1	1	no
Nowhere in Africa (Nirgendwo in Afrika)	2002	1	1	no
The ChubbChubbs!	2002	1	1	no
Twin Towers	2002	1	1	no
Bowling for Columbine	2002	1	1	no
8 Mile	2002	1	1	no
A Beautiful Mind	2001	4	8	yes
The Lord of the Rings: The Fellowship of the Ring	2001	4	13	no
Moulin Rouge!	2001	2	8	no
Black Hawk Down	2001	2	4	no
Gosford Park	2001	1	7	no
Monsters, Inc.	2001	1	4	no
Pearl Harbor	2001	1	4	no
Iris	2001	1	3	no
Shrek	2001	1	2	no
Training Day	2001	1	2	no
Monster's Ball	2001	1	2	no
Thoth	2001	1	1	no
For the Birds	2001	1	1	no
No Man's Land	2001	1	1	no
Murder on a Sunday Morning (Un coupable idéal)	2001	1	1	no
The Accountant	2001	1	1	no
Gladiator	2000	5	12	yes
Crouching Tiger, Hidden Dragon	2000	4	10	no
Traffic	2000	4	5	no
Erin Brockovich	2000	1	5	no
Almost Famous	2000	1	4	no
Wonder Boys	2000	1	3	no
How the Grinch Stole Christmas	2000	1	3	no
U-571	2000	1	2	no
Pollock	2000	1	2	no
Father and Daughter	2000	1	1	no
Into the Arms of Strangers: Stories of the Kindertransport	2000	1	1	no
Quiero ser (I want to be...)	2000	1	1	no
Big Mama	2000	1	1	no
American Beauty	1999	5	8	yes
The Matrix	1999	4	4	no
The Cider House Rules	1999	2	7	no
Topsy-Turvy	1999	2	4	no
Sleepy Hollow	1999	1	3	no
Boys Don't Cry	1999	1	2	no
Tarzan	1999	1	1	no
One Day in September	1999	1	1	no
The Red Violin (Le violon rouge)	1999	1	1	no
The Old Man and the Sea	1999	1	1	no
My Mother Dreams the Satan's Disciples in New York	1999	1	1	no
King Gimp	1999	1	1	no
Girl, Interrupted	1999	1	1	no
All About My Mother (Todo sobre mi madre)	1999	1	1	no
Shakespeare in Love	1998	7	13	yes
Saving Private Ryan	1998	5	11	no
Life Is Beautiful (La vita è bella)	1998	3	7	no
Elizabeth	1998	1	7	no
Gods and Monsters	1998	1	3	no
The Prince of Egypt	1998	1	2	no
Affliction	1998	1	2	no
What Dreams May Come	1998	1	2	no
The Personals	1998	1	1	no
The Last Days	1998	1	1	no
Election Night (Valgaften)	1998	1	1	no
Bunny	1998	1	1	no
Titanic	1997	11	14	yes
Good Will Hunting	1997	2	9	no
L.A. Confidential	1997	2	9	no
As Good as It Gets	1997	2	7	no
The Full Monty	1997	1	4	no
Men in Black	1997	1	3	no
Visas and Virtue	1997	1	1	no
Character (Karakter)	1997	1	1	no
Geri's Game	1997	1	1	no
A Story of Healing	1997	1	1	no
The Long Way Home	1997	1	1	no
The English Patient	1996	9	12	yes
Fargo	1996	2	7	no
Shine	1996	1	7	no
Evita	1996	1	5	no
Jerry Maguire	1996	1	5	no
Independence Day	1996	1	2	no
Emma	1996	1	2	no
Sling Blade	1996	1	2	no
The Ghost and the Darkness	1996	1	1	no
Kolya	1996	1	1	no
The Nutty Professor	1996	1	1	no
Quest	1996	1	1	no
When We Were Kings	1996	1	1	no
Breathing Lessons: The Life and Work of Mark O'Brien	1996	1	1	no
Dear Diary	1996	1	1	no
Braveheart	1995	5	10	yes
Apollo 13	1995	2	9	no
Pocahontas	1995	2	2	no
The Usual Suspects	1995	2	2	no
Restoration	1995	2	2	no
Babe	1995	1	7	no
Sense and Sensibility	1995	1	7	no
Il Postino: The Postman	1995	1	5	no
Dead Man Walking	1995	1	4	no
Leaving Las Vegas	1995	1	4	no
Mighty Aphrodite	1995	1	2	no
Anne Frank Remembered	1995	1	1	no
A Close Shave	1995	1	1	no
Lieberman in Love	1995	1	1	no
One Survivor Remembers	1995	1	1	no
Antonia's Line (Antonia)	1995	1	1	no
Toy Story	1995	0 (1)	3	no
Forrest Gump	1994	6	13	yes
The Lion King	1994	2	4	no
Speed	1994	2	3	no
Ed Wood	1994	2	2	no
Pulp Fiction	1994	1	7	no
Bullets over Broadway	1994	1	7	no
The Madness of King George	1994	1	4	no
Legends of the Fall	1994	1	3	no
A Time for Justice	1994	1	1	no
Franz Kafka's It's a Wonderful Life	1994	1	1	no
Maya Lin: A Strong Clear Vision	1994	1	1	no
Burnt by the Sun (Utomlyonnye solntsem)	1994	1	1	no
Trevor	1994	1	1	no
The Adventures of Priscilla, Queen of the Desert	1994	1	1	no
Bob's Birthday	1994	1	1	no
Blue Sky	1994	1	1	no
Schindler's List	1993	7	12	yes
The Piano	1993	3	8	no
Jurassic Park	1993	3	3	no
Philadelphia	1993	2	5	no
The Fugitive	1993	1	7	no
The Age of Innocence	1993	1	5	no
The Wrong Trousers	1993	1	1	no
Belle Epoque (The Beautiful Era)	1993	1	1	no
I Am a Promise: The Children of Stanton Elementary School	1993	1	1	no
Mrs. Doubtfire	1993	1	1	no
Black Rider (Schwarzfahrer)	1993	1	1	no
Defending Our Lives	1993	1	1	no
Unforgiven	1992	4	9	yes
Howards End	1992	3	9	no
Bram Stoker's Dracula	1992	3	4	no
Aladdin	1992	2	5	no
The Crying Game	1992	1	6	no
Scent of a Woman	1992	1	4	no
A River Runs Through It	1992	1	3	no
Indochine	1992	1	2	no
My Cousin Vinny	1992	1	1	no
The Panama Deception	1992	1	1	no
Educating Peter	1992	1	1	no
The Last of the Mohicans	1992	1	1	no
Death Becomes Her	1992	1	1	no
Omnibus	1992	1	1	no
Mona Lisa Descending a Staircase	1992	1	1	no
The Silence of the Lambs	1991	5	7	yes
Terminator 2: Judgment Day	1991	4	6	no
Bugsy	1991	2	10	no
JFK	1991	2	8	no
Beauty and the Beast	1991	2	6	no
Thelma & Louise	1991	1	6	no
The Fisher King	1991	1	5	no
In the Shadow of the Stars	1991	1	1	no
Manipulation	1991	1	1	no
Mediterraneo	1991	1	1	no
Session Man	1991	1	1	no
City Slickers	1991	1	1	no
